tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate,trains
10366,4,1795200,106600,83200,73300,61300,51500,1474300,10900
10367,4,1437600,110700,92600,66500,52600,57500,1144100,10500
10368,4,966100,78500,80000,57100,50500,54300,728100,10800
10369,4,1812000,114800,91900,72500,65400,60600,1509300,11000
10370,4,1492000,98900,98600,59800,51900,47600,1205300,11000
10371,4,1837600,129500,90300,85100,52500,59500,1501800,10700
10372,4,1398000,186500,88700,72900,61300,59700,1011200,11000
10373,4,2247700,91400,92500,73200,65100,59500,1952000,10800
10374,4,1732800,110300,101900,60800,50200,52500,1429200,10800
10375,4,1742200,78600,101500,69400,51500,57000,1465100,10400
10376,4,1888900,91900,105300,60200,52200,51600,1598300,10700
10377,4,2282500,96600,95800,67300,50800,57300,1992900,10600
10378,4,1499400,74500,125700,58800,51300,55700,1175400,10900
10379,4,2487000,111400,104100,65600,60600,59400,2150700,10300
10380,4,1616100,84900,111500,77400,53500,65900,1301000,11000
10381,4,2077500,108000,105500,71200,63500,60000,1768700,10800
10382,4,1518700,89900,121100,92000,65700,83800,1190800,10700
10383,4,1444300,84900,114700,68800,49900,55400,1151300,10600
10384,4,1205100,98700,99500,60000,48900,51400,923700,10400
10385,4,2219100,96000,102600,71500,52700,59500,1918800,10900
10386,4,2093800,100700,98600,72300,64200,60800,1794700,10700
10387,4,1813200,93000,116600,58800,51800,52900,1516100,10800
10388,4,1354000,114900,99600,60500,50500,49300,1040700,10700
10389,4,1338000,87700,94400,68600,51900,55700,1060200,10900
10390,4,1492400,93800,107200,70300,61000,56200,1160800,15300
10391,4,1026800,89800,106700,79900,52900,67900,718700,10700
10392,4,877100,82200,116300,68600,52300,57500,577100,10700
10393,4,1748300,80700,139900,76000,53400,65000,1419600,10500
10394,4,1388100,88500,94500,61200,50200,51200,1114200,10600
10395,4,1610700,91500,94600,68400,52600,56200,1327900,10800
10396,4,1201300,102400,99900,62800,52500,53400,902100,10700
10397,4,1478300,79100,97500,80800,50400,53000,1189100,10700
10398,4,1132000,83500,103700,76200,53600,65500,833500,10900
10399,4,1057700,72000,98400,67200,50200,58000,757500,11100
10400,4,1066900,105800,100200,60200,50900,51900,759200,10700
10401,4,1722200,86000,103700,75300,52500,61700,1430100,10500
10402,4,1582600,85800,115800,62500,54500,56200,1269400,10800
10403,4,1510200,81200,97600,55300,48800,51200,1251800,10800
10404,4,1246200,133100,123900,75400,52500,62000,889600,10900
10405,4,1716600,88700,93000,59100,51700,51800,1450400,10700
10406,4,1314300,78200,105700,67600,50000,57600,1038600,11000
10407,4,902700,98600,96000,63000,52500,54200,621000,11000
10408,4,1241200,150100,101900,69200,49300,57300,893600,10600
10409,4,2036500,82600,105700,64000,50300,57300,1753700,10800
10410,4,1595900,88000,114000,76100,53600,65400,1286000,10500
10411,4,1663500,109100,89100,63200,52600,54600,1367800,10700
10412,4,1343900,77200,96600,76000,53400,68000,1059300,10800
10413,4,1539100,95300,96800,72700,59900,47700,1238500,10600
10414,4,1397400,92200,108600,69800,52400,61400,1068200,11100
10415,4,951700,92300,98600,68800,50800,55800,664400,10600
10416,4,976000,95900,95500,70900,51500,59600,685000,11000
10417,4,1892000,102800,105000,66000,58000,51500,1592000,10900
10418,4,1699700,82700,111700,88600,61400,76900,1383900,10900
10419,4,1656900,86700,109400,59000,51500,52100,1336900,10900
10420,4,1607100,85700,104600,68600,51300,59400,1306900,10700
10421,4,1709500,181100,101900,63600,53000,51600,1332500,10600
10422,4,2194300,97800,117400,72400,51700,61800,1873300,15800
10423,4,1528900,84400,94100,76800,53100,65300,1246100,11200
10424,4,1164000,166000,103900,64500,51600,55600,802000,10800
10425,4,1760100,84100,95500,77600,53700,66400,1474800,10800
10426,4,1539200,83700,103300,69300,51700,55500,1233800,10900
10427,4,1473600,83500,103300,70600,52300,57700,1192400,10800
10428,4,1368100,104200,98400,60600,50400,51000,1082100,10600
10429,4,1750800,82300,97300,76400,53400,65800,1471300,10700
10430,4,1868600,81500,109000,61700,47100,50700,1587600,10700
10431,4,1548800,104300,103500,74600,51200,63000,1235300,10300
10432,4,1087200,85700,94000,77300,53400,70200,797800,10300
10433,4,1967800,73700,107800,78200,62300,66400,1669400,10600
10434,4,1299200,89800,80100,71900,52200,58800,1029000,10600
10435,4,1597100,98700,102600,70400,62700,55900,1293400,11100
10436,4,1483700,98800,103700,67600,50300,55300,1180600,10800
10437,4,1776600,73000,95000,61100,45900,50000,1517400,11000
10438,4,1954200,116900,108200,80300,53200,68400,1582100,10900
10439,4,1553700,95000,102600,67400,52800,56800,1229300,11000
10440,4,1412300,72300,112500,63800,51100,54300,1122600,11000
10441,4,1594100,89000,79800,68100,49900,54500,1331200,10800
10442,4,2072400,81600,91400,76500,54200,68600,1795100,11100
10443,4,1787500,81600,104700,80100,53100,67700,1497000,10800
10444,4,1381700,116000,121300,61200,51800,51800,1056300,10700
10445,4,1849800,81500,102200,68700,62000,62000,1571400,10500
10446,4,1484900,75600,107800,64300,53700,57500,1209800,11000
