fileName,run,wholeUpdate_average,controlBehaviorUpdate_average,transportLinesUpdate_average,electricHeatFluidCircuitUpdate_average,electricNetworkUpdate_average,fluidFlowUpdate_average,entityUpdate_average,trains_average,spacePlatforms_average
12_phlap,7,1206153.650829162,138492.2788668587,106711.80961436282,99380.3965435275,88233.34265499594,76139.00556503258,813112.0277412679,152.6412931010375,122.49783271344278
12_phlap,8,1210908.797785173,140106.33966274225,108811.2027741268,99394.01269610447,88307.69316815348,76003.43410050617,815367.8402639895,156.54240890405214,128.75639699096732
12_phlap,9,1208203.669006404,138156.2823345172,107243.54428255824,99568.3799882547,88422.55376268912,76018.94627925837,815311.5215749881,162.12981347353113,123.67795520008949
11_theflyingcurryfish154,0,1636116.146983976,248578.82770770995,163809.56402583965,148152.5490086412,136737.0172543975,50651.87784893314,1013679.1353225762,162.21370843703684,124.60639279621914
11_theflyingcurryfish154,1,1637586.7669677564,247865.94703431305,163975.4411476831,148693.86168517018,137378.42501188512,50672.66981738863,1013825.8927822367,162.80376968036018,125.11815207360385
11_theflyingcurryfish154,2,1631626.7596968596,247678.28798344472,163149.6630218966,148392.00201347913,136980.64263542046,50415.91767107581,1012042.9682038089,161.7998266170754,133.7705193098241
11_theflyingcurryfish154,3,1634261.760675634,248582.3512961772,163368.634469644,148699.77068709975,137331.7206857015,50433.72857182807,1012614.4103582315,161.46704326183618,129.69602058223106
11_theflyingcurryfish154,4,1644833.3007075142,248411.11048966693,164441.13370060685,148759.09281579463,137323.41228781565,51259.4535641377,1020897.2762101848,160.47148969490198,129.61492211750888
11_theflyingcurryfish154,5,1635083.6292961212,249238.28686484523,164050.35935009367,148885.0778824911,137487.0466176347,50696.0625297128,1010752.8706060012,163.15333202830055,122.33283928521492
11_theflyingcurryfish154,6,1641898.94292346,249520.19072121705,164805.39164965463,148733.33706199838,137317.6878548058,49273.12005369278,1017064.9123297632,158.93621186274785,123.07391146284851
11_theflyingcurryfish154,7,1631063.323918454,249029.39959171118,164589.50194356666,147948.5220503929,136598.27735674934,50718.84560530216,1010202.080595095,160.04921837859,129.5226376576526
11_theflyingcurryfish154,8,1637293.1849324645,248831.4997622976,164212.5590760368,147563.23443049303,136198.90377247686,48985.50854330378,1014460.0632008725,156.4053804636595,124.7490142341788
11_theflyingcurryfish154,9,1630645.1858273442,248262.36471937134,163473.90866634974,148244.71881204733,136881.66056097765,50650.501971531645,1011105.9593389077,150.58027349758103,129.7771190469532
09_jobo,0,1306381.4983640483,189558.2007326827,83710.88956626304,91086.12936603373,79737.21300931234,43974.73363349087,883614.2593472971,6291.78388657401,125.54042338991583
09_jobo,1,1298505.4335971363,189068.5841326659,84824.88604267457,91010.24916804161,79683.24337928912,43852.05962135406,877786.8312872284,6363.77974775581,127.30221762353533
09_jobo,2,1299172.8180318242,188631.04393299588,83177.74266618193,90784.83738359573,79483.91453899718,44026.75969685953,882006.9353169831,6065.169607651221,122.97323750664168
09_jobo,3,1318609.9695181632,189827.1875611734,84110.33865600268,99717.68785480579,81400.6963281971,46289.02374227467,889327.8950753657,6371.0478480941865,131.9611845968847
