tick,run,wholeUpdate,controlBehaviorUpdate,transportLinesUpdate,electricHeatFluidCircuitUpdate,electricNetworkUpdate,fluidFlowUpdate,entityUpdate
765,0,7607900,68900,117200,206500,189800,197300,7174800
766,0,8182200,40000,120200,240900,171900,228100,7704500
767,0,11327000,71900,127400,186700,183500,175900,10897800
768,0,12774600,84800,115400,246000,219300,237000,12280100
769,0,8418600,27200,133400,239100,212400,228700,7964700
770,0,7221100,41300,124700,237600,167300,226600,6753600
771,0,7565600,26700,135900,233700,206800,224300,7076700
772,0,8600200,43700,119800,241800,216300,232300,8153600
773,0,8274800,67600,116000,238300,218600,229900,7813700
774,0,8316800,59600,116100,222400,212700,159400,7864700
775,0,7704000,66500,113200,224000,205200,215400,7253800
776,0,9498100,66900,97700,228700,215500,221700,9050600
777,0,7271100,85700,119300,232700,208100,222400,6788300
778,0,7712900,30200,115700,219800,214000,162000,7209300
779,0,5915100,47800,112900,221600,216100,192900,5467300
780,0,7224000,65300,123900,226000,219000,218500,6750300
781,0,5281400,18100,134500,187500,172300,181200,4881000
782,0,6846600,56400,106800,217200,158100,210600,6401900
783,0,9292600,65200,100700,228900,173200,222000,8835200
784,0,9941700,52400,114400,211600,206100,159300,9491800
785,0,7376100,37400,117200,235900,212200,224400,6912100
786,0,7791600,31700,122300,229400,207800,218800,7280700
787,0,7732400,19800,120900,205900,162300,200500,7299200
788,0,8370900,56400,102100,229900,204500,221400,7934200
789,0,7461000,35000,109200,292700,226100,287400,6973900
790,0,9127900,28800,126900,194000,187800,171200,8678900
791,0,10971700,60500,116800,233100,216000,224300,10499900
792,0,11667300,72500,124900,217300,211400,174500,11193400
