tick,run,wholeUpdate,transportLinesUpdate,entityUpdate
25841,1,2048900,161700,1727800
25842,1,1687000,141000,1397100
25843,1,2116800,193900,1742100
25844,1,2046900,166000,1718100
25845,1,2100400,204400,1675100
25846,1,2194800,193400,1819000
25847,1,2239000,192600,1850200
25848,1,2395500,180200,2014000
25849,1,2375100,143300,1999500
25850,1,2120200,154400,1734600
25851,1,1975500,148000,1573800
25852,1,2084200,145100,1733500
25853,1,2154500,167600,1772900
25854,1,2016200,148400,1679700
25855,1,1836500,153800,1518400
25856,1,2439500,171200,2053200
25857,1,2248800,167400,1829800
25858,1,2244200,149800,1778100
25859,1,1967600,138400,1601500
25860,1,2207500,147500,1883200
25861,1,2065000,161600,1680000
25862,1,2234000,153800,1853000
25863,1,2143100,192900,1736500
25864,1,1858000,158400,1514400
25865,1,2150300,160700,1787100
25866,1,2031200,160100,1604300
25867,1,1910400,151700,1544000
25868,1,2688700,157500,2333700
25869,1,2115100,145400,1804400
25870,1,1996900,165400,1623200
25871,1,2374500,156300,1986800
25872,1,2076900,189200,1656700
25873,1,2458300,184400,2083900
25874,1,2285000,171600,1867600
25875,1,1896000,148200,1532000
25876,1,1866200,195400,1414600
25877,1,2126300,164600,1721800
25878,1,2287800,189400,1854000
25879,1,2308100,162200,1892500
25880,1,2063200,190800,1644000
25881,1,2071000,156600,1651900
25882,1,2246000,166800,1840600
25883,1,2154800,128100,1834700
25884,1,2067900,139100,1737000
25885,1,2011700,149400,1623400
25886,1,2276300,158900,1897800
25887,1,2084600,145000,1727100
25888,1,2061400,159600,1697300
25889,1,2077800,137000,1747900
25890,1,1894200,122300,1570000
25891,1,2670000,113100,2320200
25892,1,1952400,131200,1622800
25893,1,1952500,141600,1563900
25894,1,1711400,131900,1319200
25895,1,1845900,123000,1411000
25896,1,1813200,132700,1453000
25897,1,1666400,126400,1304000
25898,1,1868000,155400,1493900
25899,1,1938200,170200,1505300
25900,1,1834900,137500,1419400
25901,1,1777800,118400,1428100
25902,1,1548900,121000,1271300
25903,1,1637400,123400,1371400
25904,1,1977300,141600,1625000
25905,1,2000500,140500,1698600
25906,1,1838300,151000,1456600
25907,1,1844300,171200,1494200
25908,1,1886900,166200,1563100
25909,1,2566200,161100,2142600
